576 1820
568 160 39
118 222 15
269 315 4
479 369 27
108 56 32
48 385 17
61 67 1
103 543 33
506 54 17
409 254 47
76 287 29
314 156 4
448 552 46
181 404 16
244 374 19
515 87 29
252 304 19
238 340 15
248 93 27
354 295 47
38 270 24
37 37 8
530 508 15
485 101 17
92 33 11
356 304 20
333 286 28
189 568 30
167 34 44
560 178 29
500 356 32
155 570 30
35 184 19
496 19 28
61 46 43
522 169 42
94 323 1
366 365 39
525 541 10
533 405 29
174 107 41
155 368 7
59 80 34
386 414 20
139 111 32
551 175 47
312 538 5
196 55 22
38 146 29
168 234 18
209 494 50
244 154 12
266 352 49
138 4 6
236 492 43
462 488 14
148 504 26
132 26 40
26 280 45
227 397 36
32 373 24
87 43 24
317 382 19
540 201 27
515 188 2
137 34 15
107 224 50
368 560 12
125 475 27
32 461 28
319 292 30
495 350 46
311 368 44
195 47 46
59 68 39
69 359 26
567 255 10
496 135 32
366 289 30
89 340 37
299 185 50
318 112 4
95 265 20
217 410 38
26 278 6
85 529 3
311 228 11
282 1 22
569 263 4
480 399 16
284 317 24
169 528 16
558 516 48
382 43 7
420 233 19
137 122 29
521 87 42
563 551 13
471 483 14
182 97 32
274 57 43
284 61 12
300 123 42
198 346 14
293 83 41
34 321 23
345 21 20
539 198 25
430 266 17
451 18 28
122 42 18
502 398 34
484 155 9
532 141 26
294 397 19
407 247 33
19 161 33
510 330 33
110 499 25
70 461 29
560 418 49
101 509 30
100 52 43
138 488 16
514 428 19
233 42 20
108 153 15
176 253 41
254 382 20
545 123 1
51 387 23
97 204 31
263 133 50
40 367 5
3 432 38
284 35 4
576 176 41
343 15 10
574 538 16
190 122 23
519 505 23
509 111 20
347 137 44
501 447 25
73 326 12
345 153 23
146 156 2
408 173 28
576 137 18
391 202 32
576 209 38
315 66 37
321 434 45
140 145 27
481 422 2
1 105 4
229 97 7
174 391 20
141 229 26
43 549 37
530 9 34
386 100 3
308 129 30
507 433 1
243 474 15
441 250 10
301 288 32
371 199 26
196 412 46
327 371 25
347 232 31
453 571 29
183 379 2
413 539 25
90 493 8
9 413 44
151 132 3
105 135 38
142 460 4
424 238 1
263 370 50
67 514 32
223 183 44
89 293 1
416 343 14
80 267 32
173 263 19
390 181 40
561 200 13
442 198 1
521 542 44
396 146 31
145 497 44
80 455 19
483 126 14
297 336 19
163 198 8
463 209 5
369 147 49
300 322 8
532 13 45
208 183 50
301 183 27
532 503 42
386 102 21
543 99 15
192 75 37
78 496 7
270 153 40
457 248 3
99 415 48
29 339 11
235 185 2
256 140 17
132 268 25
309 441 11
359 99 14
66 538 29
161 178 6
312 53 48
327 248 25
469 61 40
57 536 42
383 321 5
513 297 9
86 480 8
235 148 37
195 291 45
485 20 44
177 269 46
45 467 21
456 335 28
281 85 20
50 502 16
431 31 44
170 341 5
233 312 44
433 174 29
339 128 14
486 165 33
24 28 15
264 178 42
246 51 4
550 110 41
558 279 48
353 83 43
105 324 30
211 308 34
5 209 12
506 287 27
107 398 36
481 90 10
64 508 15
468 559 46
160 217 8
79 270 25
457 117 11
500 354 22
61 453 15
391 448 34
475 255 13
57 525 43
511 216 20
397 429 31
379 25 44
190 147 9
514 80 48
106 494 34
107 43 1
491 32 37
505 319 17
77 221 5
107 350 40
206 504 28
556 360 24
430 130 28
543 142 28
177 204 13
203 491 44
144 266 15
252 262 12
474 365 31
216 117 16
309 398 13
277 204 19
290 421 40
122 432 9
448 35 33
242 244 25
501 257 17
316 91 46
554 23 17
343 470 31
466 311 25
59 399 2
256 269 11
377 350 2
405 80 12
183 96 36
216 63 15
392 509 5
1 146 12
541 55 43
495 419 6
407 20 12
38 415 17
345 30 46
175 251 21
268 261 35
114 155 38
96 204 22
464 128 2
230 563 22
144 374 16
281 310 39
24 134 23
328 481 46
370 458 27
267 406 36
352 38 33
306 203 27
504 377 6
61 434 25
425 456 2
76 564 49
290 429 11
475 143 7
23 62 22
324 231 17
296 31 39
524 527 43
130 352 42
167 433 7
220 309 36
509 48 3
561 206 5
286 356 7
163 301 15
302 146 31
518 457 21
404 103 19
203 79 29
322 198 14
114 555 16
522 218 48
452 214 44
371 115 18
464 301 33
274 238 50
518 363 37
4 480 35
518 385 40
106 535 26
440 406 19
195 236 11
208 549 45
208 215 15
33 362 43
203 190 41
190 90 6
552 546 49
182 138 27
493 322 7
413 151 10
526 2 50
547 105 20
369 200 14
332 273 29
529 6 9
190 119 27
502 2 41
132 521 18
484 19 37
483 203 24
291 48 41
541 164 28
512 526 33
170 258 30
357 271 30
327 519 40
518 34 25
496 426 1
286 135 16
200 397 40
554 528 4
345 106 28
560 477 24
497 395 31
268 116 13
359 297 28
108 2 29
165 63 42
223 419 42
414 565 13
64 301 39
445 476 28
255 183 11
126 69 18
11 35 17
118 566 45
101 7 30
460 307 2
373 552 32
332 247 11
4 485 50
347 452 31
4 44 24
562 572 25
136 65 3
55 252 7
214 415 3
495 389 7
331 551 29
18 78 7
221 552 33
130 32 30
163 500 37
548 53 30
223 334 13
468 205 19
301 93 41
572 464 31
546 429 49
497 219 34
297 460 40
69 366 15
563 185 25
475 17 4
233 204 14
572 264 38
304 214 27
282 423 12
371 204 32
5 372 42
58 467 23
341 169 35
447 336 30
169 171 35
222 360 25
433 571 1
331 511 19
352 194 49
543 363 35
559 21 36
457 508 45
43 347 18
60 548 24
115 491 50
464 146 19
172 468 3
564 36 44
559 482 33
317 16 5
225 511 46
434 318 11
284 70 19
362 293 27
1 347 10
272 417 10
386 149 18
526 548 5
504 492 14
553 193 19
298 522 11
316 525 5
319 485 24
244 203 13
375 130 33
334 276 28
91 191 24
96 273 33
63 62 18
280 531 44
42 414 34
354 263 8
88 258 6
255 67 12
543 441 3
347 557 9
120 267 38
378 66 46
363 477 23
241 532 19
13 138 43
507 545 32
229 397 41
240 431 16
575 25 7
485 340 41
273 96 36
566 529 6
203 95 50
72 412 33
488 283 33
187 388 40
290 422 40
168 363 9
24 244 25
496 429 11
147 255 44
555 382 27
450 388 21
550 40 28
65 85 19
21 157 15
364 542 39
277 110 45
204 295 24
17 181 22
534 194 40
163 136 24
298 335 27
129 422 2
2 497 47
182 38 18
246 130 22
161 301 26
143 473 21
146 475 10
315 279 22
539 330 32
291 564 18
573 428 49
225 134 27
56 529 39
533 2 27
180 403 24
232 278 36
241 474 6
26 378 1
556 422 24
429 470 43
231 260 33
519 63 8
220 276 32
288 551 47
284 441 23
576 474 16
151 403 32
360 416 6
360 81 10
362 56 30
66 394 3
428 77 28
569 538 38
435 6 22
427 483 35
468 219 17
425 424 47
149 441 3
292 51 33
533 118 42
498 29 18
29 311 10
342 368 42
25 179 9
439 286 15
125 468 48
6 121 35
7 310 40
134 458 31
305 401 14
529 566 43
464 87 15
93 94 20
281 170 21
13 539 36
437 180 21
60 252 43
456 560 17
212 276 43
250 451 24
507 373 47
193 257 38
8 533 8
481 569 25
315 524 6
340 104 10
124 192 36
107 104 47
164 206 44
525 445 11
353 162 10
398 93 24
147 206 8
522 469 20
434 173 25
331 120 48
528 362 2
323 99 20
179 21 7
132 82 5
359 176 40
336 552 41
79 349 49
396 413 44
202 340 22
86 45 38
361 128 27
572 76 39
565 438 45
232 20 22
173 570 12
420 261 46
296 196 23
168 237 29
398 191 5
531 323 1
307 130 45
422 471 5
373 199 39
171 61 3
12 294 37
296 455 38
304 2 5
216 411 15
508 282 29
522 80 18
571 224 35
124 368 15
278 508 40
349 76 4
440 374 14
287 519 46
283 331 14
219 143 14
179 191 37
351 407 29
374 33 18
4 288 35
560 484 40
3 435 9
492 327 10
257 258 16
148 460 47
155 358 24
480 173 28
217 122 16
495 404 45
45 373 40
323 361 26
331 250 36
114 539 48
442 178 45
203 357 44
244 295 7
153 14 21
463 564 44
566 375 22
12 566 5
207 576 42
192 81 16
10 312 29
445 110 27
385 25 29
360 176 21
322 227 12
62 114 2
391 223 46
238 258 35
71 246 5
122 552 13
387 68 4
39 118 46
123 488 32
521 66 45
535 337 29
157 453 4
226 512 9
99 256 3
452 15 2
271 233 27
67 359 9
39 149 18
149 576 4
186 291 2
217 487 49
354 106 32
396 13 13
389 71 37
171 557 5
55 241 17
284 540 18
370 207 41
494 347 1
71 125 11
415 367 33
72 311 26
141 466 48
392 569 34
105 128 49
72 132 34
299 96 6
457 320 45
251 113 16
126 301 30
305 328 11
161 153 44
271 430 40
448 58 38
48 205 41
208 425 35
331 565 13
130 111 41
103 360 39
388 289 27
56 109 47
401 229 30
123 509 25
105 329 33
558 561 9
427 315 13
335 234 42
442 226 46
58 563 27
273 377 2
563 562 50
530 166 11
456 181 41
396 216 37
498 323 33
161 434 15
101 30 20
538 292 50
302 253 19
419 50 39
534 81 41
374 133 12
461 239 6
295 483 46
262 489 34
152 173 50
286 384 9
464 481 18
551 99 8
505 566 44
171 120 17
73 532 24
446 574 22
228 273 43
470 9 9
145 107 32
221 326 22
21 365 34
426 478 18
388 575 48
512 239 37
178 514 14
439 13 37
313 62 5
559 538 49
387 345 23
123 125 50
207 58 1
111 247 1
343 165 11
188 25 16
510 185 35
406 22 28
282 484 31
534 127 22
205 66 25
164 475 18
443 476 40
535 364 8
525 402 24
403 18 47
507 558 45
81 179 2
149 446 2
173 566 39
142 184 50
205 375 32
534 284 13
99 97 34
575 234 40
63 122 31
170 61 11
521 540 37
419 87 49
168 80 50
300 146 2
240 324 11
202 348 41
110 571 46
36 165 5
23 260 30
176 504 30
241 462 35
340 154 38
523 198 2
153 111 12
400 262 33
283 117 26
309 207 5
75 171 31
407 387 31
468 128 50
366 347 20
212 44 26
438 299 19
481 480 22
19 412 48
188 199 26
275 170 32
198 82 20
75 73 13
466 204 28
482 493 6
533 508 32
271 456 28
16 299 18
450 466 37
159 545 36
364 419 4
496 257 34
197 167 2
210 513 27
19 255 39
536 381 3
462 292 2
269 15 6
60 28 9
228 318 26
509 322 21
390 509 48
355 567 25
125 215 9
71 178 50
569 275 13
563 479 15
192 152 7
421 230 1
523 443 4
157 569 34
380 132 5
230 39 46
561 250 34
399 398 35
538 144 31
448 423 7
423 74 19
147 372 37
550 219 41
324 59 26
474 262 50
535 374 23
94 158 42
393 340 46
556 149 34
355 302 13
19 563 25
220 199 12
91 412 2
457 21 49
485 152 14
329 526 49
418 411 5
174 47 4
